Array Size,Cpu without scan (s),Cpu with scan (s),Efficient SC (s),Shared Memory SC (s)
125,0.0005,0.0006,0.831488,0.945152
253,0.0009,0.0011,0.97792,0.915456
509,0.0029,0.002,0.928768,0.882688
1021,0.0203,0.0032,1.15814,1.01683
2045,0.0058,0.0062,1.87597,1.18477
4093,0.0111,0.012,1.21958,1.1735
8189,0.0407,0.0537,1.39674,1.06496
16381,0.0609,0.055,1.21242,1.51962
32765,0.084,0.159,1.4633,1.40288
65533,0.1692,0.2371,1.83603,2.54362
131069,0.3491,0.4499,2.90406,3.47238
262141,0.6895,0.8119,5.05754,5.4231
524285,1.8404,1.5971,8.55654,9.55898
1048573,2.6728,3.0219,16.1167,15.913
2097149,5.2789,5.7704,31.3733,30.2264
4194301,10.6687,11.7643,58.8882,56.7675
8388605,21.5183,22.6825,115.895,109.728
16777213,46.4988,44.6805,230.788,221.885
33554429,85.547,90.888,463.507,445
67108861,175.28,175.451,943.489,886.282
134217725,347.837,349.535,1870.23,1777.8
268435453,697.146,709.874,3728.42,3548.23
13,0.0001,0.0002,0.776192,0.93184
29,0.0002,0.0002,0.919552,1.22061
61,0.0003,0.0003,0.796672,0.93184
125,0.0009,0.0006,1.1776,1.2247
253,0.0014,0.001,1.08749,0.98816
509,0.0029,0.0019,0.92672,1.06496
1021,0.0029,0.0039,0.909312,0.982016
2045,0.0072,0.006,1.03117,1.0025
4093,0.0117,0.0114,1.50528,0.932864
8189,0.0534,0.0231,1.29638,1.12333
16381,0.0609,0.0778,1.29741,1.13869
32765,0.0842,0.1662,1.72134,1.61075
65533,0.1725,0.2296,1.92819,2.51187
131069,0.3451,0.3494,3.0976,4.00589
262141,0.7151,1.6118,5.21728,5.87571
524285,1.3351,1.6197,8.76544,9.0368
1048573,2.6619,2.9279,15.5351,16.1311
2097149,5.429,5.9902,29.9151,29.014
4194301,10.8022,11.6278,57.47,55.7701
8388605,20.6023,23.0631,113.016,108.847
16777213,46.8518,44.1403,235.913,225.118
33554429,85.8326,90.9049,473.309,441.043
67108861,175.518,179.881,935.351,887.743
134217725,351.473,352.328,1881.01,1773.81
268435453,695.844,703.951,3737.66,3558.55
13,0.0001,0.0002,0.891904,1.06291
29,0.0002,0.0003,0.934912,0.954368
61,0.0004,0.0003,1.06086,0.90624
125,0.0009,0.0006,0.925696,1.2503
253,0.0014,0.001,0.86528,1.1561
509,0.0027,0.0019,0.949248,0.9216
1021,0.0029,0.0032,0.986112,1.1264
2045,0.0064,0.0057,0.959488,1.14381
4093,0.011,0.0117,0.958464,0.997376
8189,0.0201,0.0226,1.34554,0.978944
16381,0.0479,0.0605,1.26157,1.52166
32765,0.1036,0.111,1.47558,1.88723
65533,0.1778,0.1798,1.88723,2.74842
131069,0.3351,0.3946,2.87334,3.96698
262141,0.6738,0.9054,5.62176,5.9607
524285,1.3343,1.56,9.41773,9.30099
1048573,2.6731,3.263,15.743,17.7869
2097149,5.2994,5.8612,30.5572,29.013
4194301,12.0947,12.4005,57.8499,58.0485
8388605,22.2962,22.7381,114.144,109.877
16777213,42.4889,47.269,232.287,221.382
33554429,89.3125,88.7778,474.592,443.543
67108861,174.693,176.145,946.349,896.618
134217725,347.113,352.255,1884.24,1780.59
268435453,695.185,698.086,3756.38,3551.27
