Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
16384,0.0086,0.37376,0.365568,0.17472,0.1448
32768,0.02,0.456704,0.341984,0.201152,0.139232
65536,0.0451,0.801312,0.32592,0.181248,0.14416
131072,0.6021,1.12176,0.345088,0.186368,0.403456
262144,1.1716,2.69414,0.399968,0.228096,0.521952
524288,2.4242,4.00534,0.761312,0.350208,0.370688
1048576,4.8371,7.68848,1.10931,0.36128,0.542144
2097152,11.236,15.283,3.3792,0.533408,0.582656
4194304,20.1574,31.5115,3.40512,0.84768,0.690528
8388608,40.8609,66.6521,6.51981,1.65027,0.803264
16777216,81.4,128.886,11.366,2.88934,1.20563
33554432,175.171,263.171,32.6881,5.5873,2.08042
67108864,311.372,527.436,52.4698,10.8912,3.57123
16,0.0001,0.21504,0.111616,0.173056,0.144384
32,0.0001,0.2048,0.13824,0.152576,0.11264
64,0.0002,0.19968,0.556032,0.217088,0.167936
128,0.0003,0.223232,0.1536,0.171008,0.178176
256,0.019,0.212992,0.182272,0.202752,0.14848
512,0.0007,0.251904,0.197632,0.165888,0.147456
1024,0.0014,0.252928,0.216064,0.162816,0.136192
2048,0.0023,0.26624,0.224256,0.224256,0.121856
4096,0.0046,0.280576,0.221184,0.1536,0.126976
8192,0.0035,0.310272,0.263168,0.233472,0.10752
16384,0.0115,0.370688,0.288768,0.157696,0.131584
32768,0.0187,0.459744,0.30208,0.377856,0.178176
65536,0.0379,0.66448,0.310656,0.18016,0.141824
131072,0.5994,1.0537,0.350208,0.265792,0.77168
262144,1.2047,2.14426,0.39936,0.222208,0.464896
524288,2.3984,4.04579,0.761856,0.295936,0.555008
1048576,4.61,7.64403,1.37523,0.372352,0.539424
2097152,9.4543,15.4109,2.04358,0.565632,0.519168
4194304,22.2619,30.9944,4.19568,0.872096,0.62656
8388608,36.8641,66.1068,6.89357,1.51594,0.842752
16777216,84.3357,140.265,18.4484,2.87638,1.23325
33554432,153.432,266.035,22.2421,5.59581,2.10582
67108864,312.963,537.245,66.9756,10.9476,3.6905
16,0,0.162816,0.106496,0.176128,0.294912
