Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
16777213,75.4757,229.063,219.942,210.357,209.142
33554429,153.352,461.781,441.139,424.88,420.75
67108861,311.401,933.5,880.761,854.311,851.155
13,0.0001,0.581632,0.611328,0.705536,0.68608
29,0.0001,0.493568,0.695296,0.625664,0.598016
61,0.0001,0.621568,0.80384,0.654336,0.627712
125,0.0002,0.512,0.658432,0.695296,0.876544
253,0.0003,0.679936,0.70656,0.667648,0.704512
509,0.0005,0.666624,0.666624,0.784384,0.782336
1021,0.0005,0.641024,0.948224,0.863232,1.1735
2045,0.0008,0.628736,0.854016,0.74752,0.789504
4093,0.0025,0.72192,0.89088,0.79872,0.693248
8189,0.017,0.758784,0.951296,1.13357,0.784384
16381,0.0076,0.811008,1.08646,1.00864,0.93184
32765,0.0172,1.37523,1.22982,1.68858,1.13459
65533,0.0375,1.49709,1.61894,1.67014,1.49299
131069,0.7581,2.23437,2.49958,2.94707,3.0976
262141,1.2755,4.95923,3.97414,4.41139,4.75238
524285,2.563,8.0681,7.91142,8.28928,8.77363
1048573,5.2355,15.1521,15.3846,14.3821,15.0845
2097149,9.4288,28.9526,28.9434,28.3894,28.0893
4194301,19.1557,59.5999,55.9135,53.5593,53.4641
8388605,40.6577,113.883,110.28,107.74,106.172
16777213,76.0369,232.983,222.561,210.291,210.987
33554429,151.646,463.19,433.889,421.572,421.01
67108861,308.952,935.998,897.567,851.251,848.459
13,0.0001,0.724992,0.734208,0.748544,0.647168
29,0.0002,0.705536,0.661504,0.698368,0.65024
61,0.0002,0.848896,0.731136,0.754688,0.654336
125,0.0002,0.632832,0.79872,0.68096,0.833536
253,0.0003,0.602112,0.712704,0.585728,0.621568
509,0.0002,0.653312,0.754688,0.791552,0.717824
1021,0.0004,0.56832,0.8704,0.685056,0.748544
2045,0.0009,0.768,0.999424,0.801792,0.664576
4093,0.0042,0.707584,1.00352,1.05677,0.743424
8189,0.0061,1.06701,0.893952,1.05472,0.74752
16381,0.023,0.98816,1.02502,1.54624,1.10694
32765,0.0166,1.10285,1.23597,1.52883,1.11821
65533,0.0788,1.44998,1.63738,1.46534,1.41722
131069,0.7151,2.2999,2.53542,2.50163,3.2727
262141,1.2076,4.23014,3.93216,4.66842,4.74522
524285,2.4517,7.88275,8.04147,8.10598,8.00352
1048573,5.1194,15.4255,14.6729,14.2643,14.677
2097149,9.404,29.7011,28.7263,26.8268,27.2404
4194301,21.0661,57.0081,55.3667,53.4374,53.676
8388605,38.2189,112.428,109.8,106.44,105.472
16777213,78.8381,228.108,217.759,209.554,208.338
33554429,157.638,462.127,444.364,423.248,421.361
67108861,312.291,934.219,881.966,850.691,844.271
13,0.0001,0.724992,0.690176,1.0752,0.723968
29,0.0002,0.8704,0.777216,0.790528,0.959488
61,0.0001,0.794624,0.615424,0.741376,0.724992
125,0.0001,0.513024,0.713728,0.779264,0.796672
253,0.0004,0.530432,0.72704,0.733184,0.6656
509,0.0006,0.690176,0.726016,0.656384,0.626688
1021,0.0004,0.585728,0.772096,0.592896,0.891904
2045,0.0009,0.591872,0.796672,0.763904,0.709632
4093,0.0018,0.764928,0.822272,0.694272,0.72192
8189,0.0039,0.816128,0.961536,0.766976,0.724992
16381,0.0075,0.90624,1.25235,0.937984,0.941056
