Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
1024,0.0004,0.5376,0.641024,0.603136,0.623616
2048,0.0011,1.44589,0.774144,0.685056,0.627712
4096,0.0023,0.571392,0.722944,0.799744,0.590848
8192,0.004,0.652288,0.804864,0.756736,0.68608
16384,0.0083,0.77312,1.01581,0.856064,0.816128
32768,0.0266,0.996352,1.16019,1.03526,1.1561
65536,0.039,1.39162,1.62611,1.4336,1.41005
131072,0.5827,2.75354,2.4576,2.95834,3.1703
262144,1.1688,4.21376,4.40218,4.36531,4.51789
524288,2.3418,7.62266,7.5049,7.52538,8.31898
1048576,4.4379,16.1106,15.3487,14.5644,14.8122
2097152,9.4509,29.5516,28.542,27.5988,28.8195
4194304,20.7965,58.7766,57.0358,53.3924,54.3406
8388608,44.4546,114.338,111.123,107.431,105.241
16777216,76.9285,228.565,225.028,210.359,212.393
33554432,151.447,467.853,435.791,424.513,422.91
67108864,294.586,939.542,902.285,851.101,845.038
16,0.0001,0.477184,0.738304,0.87552,0.730112
32,0.0003,0.710656,0.679936,0.667648,0.603136
